SYMBOL,Name,买卖价格,买卖数量,买卖金额,交易,卖出盈利,日期
IBKR,IBKR,$70.16,10,$701.60,卖,$393.00,"October 10, 2025"
ASML,ASML,"$1,058.71",4,"$4,234.84",卖,"$1,368.40","October 27, 2025"
IBKR,IBKR,$68.72,12.74,$875.49,卖,$482.00,"November 7, 2025"
PDD,PDD,$134.70,100,"$13,470.00",卖,"$3,294.00","November 13, 2025"
VTI,VTI 10,$337.66,10,"$3,376.60",卖,$644.00,"December 5, 2025"
PDD,PDD 20,$114.05,20,"$2,281.00",卖,$245.59,"December 26, 2025"
VTI,VTI,$338.69,15,"$5,080.35",卖,$982.00,"December 30, 2025"
VTI,VTI 15.88,$335.62,15.88,"$5,329.65",卖,$991.00,"January 2, 2026"
PDD,PDD,$123.38,20,"$2,467.60",卖,$432.18,"January 5, 2026"
META,Meta 3,$715.00,3,"$2,145.00",卖,$193.00,"January 29, 2026"
BABA,Alibaba 20,$122.60,20,"$2,452.00",卖,$255.78,"March 31, 2026"
PDD,PDD,$100.69,20,"$2,013.80",卖,$16.40,"March 31, 2026"
COIN,Coinbase,$169.50,20,"$3,390.00",卖,-$90.47,"March 31, 2026"
BABA,Alibaba 60,$124.00,60,"$7,440.00",卖,$596.50,"March 31, 2026"
COIN,Coinbase,$194.00,10,"$1,940.00",卖,$199.59,"April 15, 2026"
META,Meta,$688.00,3,"$2,064.00",卖,-$20.91,"April 17, 2026"
